Date,Spend
15/08/2025,0.00
16/08/2025,0.00
17/08/2025,0.00
18/08/2025,0.00
19/08/2025,0.00
20/08/2025,0.00
21/08/2025,0.00
22/08/2025,0.00
23/08/2025,0.00
24/08/2025,0.00
25/08/2025,0.00
26/08/2025,0.00
27/08/2025,0.00
28/08/2025,0.00
29/08/2025,0.00
30/08/2025,0.00
31/08/2025,0.00
01/09/2025,0.00
02/09/2025,0.00
03/09/2025,0.00
04/09/2025,0.00
05/09/2025,0.00
06/09/2025,0.00
07/09/2025,0.00
08/09/2025,0.00
09/09/2025,0.00
10/09/2025,0.00
11/09/2025,0.00
12/09/2025,0.00
13/09/2025,0.00
14/09/2025,0.00
15/09/2025,0.00
16/09/2025,0.00
17/09/2025,0.00
18/09/2025,0.00
19/09/2025,0.00
20/09/2025,0.00
21/09/2025,0.00
22/09/2025,0.00
23/09/2025,0.00
24/09/2025,0.00
25/09/2025,0.00
26/09/2025,0.00
27/09/2025,334156.85
28/09/2025,1202017.06
29/09/2025,1197166.11
30/09/2025,732586.38
01/10/2025,499939.53
02/10/2025,1025834.42
03/10/2025,714708.30
04/10/2025,701055.70
05/10/2025,634658.51
06/10/2025,448932.01
07/10/2025,537960.59
08/10/2025,1072366.41
09/10/2025,881066.11
10/10/2025,532843.29
11/10/2025,423391.74
12/10/2025,440129.56
13/10/2025,556890.98
14/10/2025,694042.19
15/10/2025,645824.24
16/10/2025,413176.89
17/10/2025,440595.43
18/10/2025,621145.44
19/10/2025,828352.26
20/10/2025,1104474.14
21/10/2025,1269028.53
22/10/2025,1258498.10
23/10/2025,1407497.90
24/10/2025,1745325.36
25/10/2025,1680828.80
26/10/2025,1481197.53
27/10/2025,1448074.90
28/10/2025,1590748.41
29/10/2025,1511891.48
30/10/2025,1155098.71
31/10/2025,1494647.28
01/11/2025,1409150.19
02/11/2025,1481579.44
03/11/2025,1668538.33
04/11/2025,1663581.95
05/11/2025,1664889.70
06/11/2025,1264790.37
07/11/2025,1399642.50
08/11/2025,1129422.23
09/11/2025,1130169.02
10/11/2025,1300317.50
11/11/2025,1616595.35
12/11/2025,1426178.11
